User name,AWS access key,Event time,Event source,Event name,AWS region,Source IP address,User agent,Error code,Resources,Request ID,Event ID,Read-only,Event type,Recipient Account Id,Event category
,,2020-10-10T18:27:55Z,s3.amazonaws.com,GetBucketAcl,us-east-2,cloudtrail.amazonaws.com,cloudtrail.amazonaws.com,,[],63C76B4AA45B41F8,fe16c535-f173-46e1-8299-77a0deae0268,true,AwsApiCall,790334640455,
,,2020-10-10T18:27:50Z,s3.amazonaws.com,GetBucketAcl,us-east-2,cloudtrail.amazonaws.com,cloudtrail.amazonaws.com,,[],8039FA535FC8339D,702b240d-f387-4e95-9186-e04c2a4f96f2,true,AwsApiCall,790334640455,
,,2020-10-10T18:27:17Z,s3.amazonaws.com,GetBucketAcl,us-east-2,cloudtrail.amazonaws.com,cloudtrail.amazonaws.com,,[],467ECD1B7B55DE76,dea4e807-7d91-47c0-9955-eedc277f7ff3,true,AwsApiCall,790334640455,
,,2020-10-10T18:27:04Z,s3.amazonaws.com,GetBucketAcl,us-east-2,cloudtrail.amazonaws.com,cloudtrail.amazonaws.com,,[],5115003BA6166E0E,b5d80b95-e653-456c-a033-104df258f0cd,true,AwsApiCall,790334640455,
,,2020-10-10T18:26:23Z,s3.amazonaws.com,GetBucketAcl,us-east-2,cloudtrail.amazonaws.com,cloudtrail.amazonaws.com,,[],026E5457C7F093CF,2ef8a996-048e-4e3c-8dfb-143c2eb3650b,true,AwsApiCall,790334640455,
root,ASIA3QA45SFD7MTUZ3UB,2020-10-10T18:25:19Z,application-insights.amazonaws.com,ListApplications,us-east-2,204.83.217.131,Apache-HttpClient/UNAVAILABLE (Java/1.8.0_252),,[],551ecf0a-7a1e-45b1-a172-bc472ba9f5f0,3ccc6f16-e2f3-45ef-a435-6ee01ebf5280,,AwsApiCall,790334640455,
root,ASIA3QA45SFD7MTUZ3UB,2020-10-10T18:25:19Z,monitoring.amazonaws.com,GetDashboard,us-east-2,204.83.217.131,AWS CloudWatch Console,DashboardNotFoundError,[],147e740f-e788-4858-81bb-124ca53e2bbc,a8f7ea9d-b19f-4e7b-98a4-2c68abe45b49,,AwsApiCall,790334640455,
root,ASIA3QA45SFD7MTUZ3UB,2020-10-10T18:25:19Z,resource-groups.amazonaws.com,ListGroups,us-east-2,204.83.217.131,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",,[],67d23b74-e9b3-4f49-923c-c36022439ef5,c22444fe-ba36-4c3f-b785-5031942e05f1,true,AwsApiCall,790334640455,
root,ASIA3QA45SFD7MTUZ3UB,2020-10-10T18:25:08Z,monitoring.amazonaws.com,DescribeAlarms,us-east-2,204.83.217.131,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",,[],adb669ca-01f1-4e01-9fe4-89714dce3a01,85a96e2d-217a-4db3-a8e7-0fea669ba364,,AwsApiCall,790334640455,
root,ASIA3QA45SFD7MTUZ3UB,2020-10-10T18:24:59Z,monitoring.amazonaws.com,DescribeAnomalyDetectors,us-east-2,204.83.217.131,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",,[],41753214-66fb-4366-b0bc-c81e1fc3523d,7a3992a0-cf61-4090-9bed-0720e1af51d3,,AwsApiCall,790334640455,
